,LRP,source_gene,target_gene
1,0.018707138,ID2,ID1
2,0.0140883755,ID3,ID1
3,0.0085623395,ID4,ID1
4,0.030374339,JUN,ID1
9,0.017269175,RPS27,ID1
10,0.01492656,RPL10,ID1
14,0.03843945,ID3,ID2
15,0.032521687,ID4,ID2
16,0.048591856,JUN,ID2
21,0.09442451,RPS27,ID2
22,0.030837193,RPL10,ID2
27,0.024688218,ID4,ID3
28,0.05160019,JUN,ID3
33,0.06895446,RPS27,ID3
34,0.021738755,RPL10,ID3
40,0.05051553,JUN,ID4
45,0.056717828,RPS27,ID4
46,0.019199796,RPL10,ID4
57,0.060375392,RPS27,JUN
58,0.03255101,RPL10,JUN
60,0.024851542,ID1,FOS
61,0.03891187,ID2,FOS
62,0.030590262,ID3,FOS
63,0.02806928,ID4,FOS
64,0.08606115,JUN,FOS
66,0.07109261,FOSB,FOS
67,0.03755305,HSPA5,FOS
68,0.019191355,HSP90B1,FOS
69,0.08519402,RPS27,FOS
70,0.017092466,RPL10,FOS
72,0.02520458,ID1,FOSB
73,0.040120464,ID2,FOSB
74,0.006888833,ID3,FOSB
75,0.022714809,ID4,FOSB
76,0.09049606,JUN,FOSB
79,0.039828468,HSPA5,FOSB
80,0.0073722703,HSP90B1,FOSB
81,0.04916303,RPS27,FOSB
82,0.03588832,RPL10,FOSB
84,0.014728189,ID1,HSPA5
85,0.03581967,ID2,HSPA5
86,0.03437858,ID3,HSPA5
87,0.014885539,ID4,HSPA5
88,0.014093502,JUN,HSPA5
93,0.023567563,RPS27,HSPA5
94,0.016000861,RPL10,HSPA5
96,0.0032139127,ID1,HSP90B1
97,0.004427535,ID2,HSP90B1
98,0.010747047,ID3,HSP90B1
99,0.01219334,ID4,HSP90B1
100,0.03078555,JUN,HSP90B1
103,0.006851592,HSPA5,HSP90B1
105,0.002276311,RPS27,HSP90B1
106,0.0073942575,RPL10,HSP90B1
129,0.06548281,RPS27,RPL10
132,0.0417216,ID1,EEF1A1
133,0.08934577,ID2,EEF1A1
134,0.01141247,ID3,EEF1A1
135,0.030838635,ID4,EEF1A1
136,0.019867728,JUN,EEF1A1
137,0.01266411,FOS,EEF1A1
138,0.004742193,FOSB,EEF1A1
139,0.009752202,HSPA5,EEF1A1
140,0.011063971,HSP90B1,EEF1A1
141,0.087827295,RPS27,EEF1A1
142,0.077524945,RPL10,EEF1A1
